               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1105,            0.014732,            0.078439,           0.0048201,                0.35,           0.0074303,           0.0013747,            0.098163,            0.010852,            0.085418,              0.0982,              0.0002,              0.0002
                   1,             0.11134,            0.012736,             0.07873,           0.0066835,                0.45,           0.0096739,           0.0017903,            0.093828,            0.011399,            0.084092,            0.095499,          0.00049901,          0.00049901
                   2,             0.10456,            0.017369,            0.075017,           0.0072261,                 0.5,            0.011394,           0.0026988,            0.087182,            0.012302,            0.081394,            0.092797,          0.00079683,          0.00079683
                   3,            0.099556,            0.018073,            0.071801,           0.0074682,                0.55,            0.022711,           0.0038948,            0.081696,            0.013285,            0.078417,            0.090093,           0.0010935,           0.0010935
                   4,            0.096469,            0.020385,            0.067336,           0.0094699,               0.725,            0.038502,            0.014059,            0.079556,             0.01395,            0.074102,            0.087389,           0.0013889,           0.0013889
                   5,            0.089631,            0.018266,            0.065328,             0.01089,               0.875,            0.043959,            0.013049,            0.076373,              0.0144,            0.070252,            0.084683,           0.0016832,           0.0016832
                   6,            0.087721,            0.023353,            0.060327,           0.0098278,                 0.9,            0.026583,           0.0055925,            0.075288,            0.014467,            0.065426,            0.081976,           0.0019762,           0.0019762
                   7,            0.080958,            0.022601,            0.054797,            0.010043,               0.975,            0.072254,            0.013024,            0.070824,            0.015014,            0.061763,            0.079268,           0.0022681,           0.0022681
                   8,            0.082298,            0.022644,            0.052409,           0.0084974,               0.975,              0.0988,            0.018167,            0.070308,            0.015043,            0.053182,            0.076559,           0.0025588,           0.0025588
                   9,            0.080562,            0.025587,            0.049239,           0.0079376,                   1,             0.19525,            0.053374,            0.066518,            0.014662,            0.048257,            0.073848,           0.0028483,           0.0028483
                  10,            0.076589,            0.023447,            0.045721,             0.44503,               0.175,             0.26258,            0.087545,            0.067499,            0.013728,            0.036841,            0.071137,           0.0031366,           0.0031366
                  11,             0.07721,            0.024114,            0.040458,             0.24265,               0.525,             0.33038,             0.11032,            0.065074,            0.013373,            0.033762,            0.068424,           0.0034238,           0.0034238
                  12,             0.07314,            0.022666,            0.036381,             0.21705,               0.525,              0.3824,            0.089928,            0.068263,             0.01288,            0.028616,             0.06571,           0.0037097,           0.0037097
                  13,            0.073067,            0.019451,            0.031991,             0.43379,             0.67062,             0.52837,              0.1559,            0.059132,            0.013302,             0.02821,            0.062994,           0.0039945,           0.0039945
                  14,            0.070921,            0.023846,            0.031618,             0.14851,               0.475,             0.18204,            0.068995,            0.069124,            0.013103,            0.026867,            0.060278,            0.004278,            0.004278
                  15,            0.078402,            0.019084,            0.027791,               0.359,               0.325,             0.34358,             0.11622,            0.064181,            0.014071,            0.026143,             0.05756,           0.0045604,           0.0045604
                  16,             0.06773,            0.020343,            0.025299,             0.34272,              0.4951,             0.45842,             0.13183,            0.061479,            0.014345,            0.024589,            0.054842,           0.0048416,           0.0048416
                  17,              0.0654,            0.019103,            0.021971,             0.28393,                0.35,             0.20676,            0.050476,             0.07062,            0.014447,            0.023538,            0.052122,           0.0051216,           0.0051216
                  18,            0.074193,            0.018116,            0.020333,               0.467,               0.425,             0.51618,             0.16692,            0.058482,            0.014988,            0.021709,              0.0494,           0.0054004,           0.0054004
                  19,             0.06494,            0.016321,            0.020693,              0.1582,               0.525,             0.17147,            0.049553,             0.06991,             0.01373,            0.019836,            0.046678,            0.005678,            0.005678
                  20,            0.073025,            0.020031,            0.018689,             0.52874,             0.65942,              0.6407,              0.2538,            0.067292,            0.013381,            0.018392,            0.043954,           0.0059545,           0.0059545
                  21,            0.069959,            0.017146,            0.018043,              0.3658,             0.65093,             0.48748,             0.11938,            0.063703,            0.013731,            0.016063,             0.04123,           0.0062297,           0.0062297
                  22,            0.070807,            0.017803,            0.015995,             0.42797,             0.52265,             0.52889,             0.21179,            0.065092,            0.012413,            0.015532,            0.038504,           0.0065038,           0.0065038
                  23,            0.068019,            0.016262,            0.017122,              0.2876,             0.62333,             0.37912,            0.077538,            0.070891,            0.011548,            0.013712,            0.035777,           0.0067767,           0.0067767
                  24,            0.075888,            0.015134,            0.016258,             0.27262,                0.75,             0.46607,            0.083868,            0.067563,             0.01159,            0.011409,            0.033048,           0.0070484,           0.0070484
                  25,            0.070231,            0.017234,            0.014271,              0.3105,             0.67984,             0.31917,            0.089397,            0.065032,            0.010968,            0.010012,            0.030319,           0.0073188,           0.0073188
                  26,            0.072097,            0.016954,            0.014317,              0.2017,               0.575,             0.23684,            0.066144,            0.064335,            0.010906,            0.009437,            0.027588,           0.0075882,           0.0075882
                  27,             0.07071,            0.016117,            0.012356,             0.99039,                 0.5,             0.54218,             0.31349,            0.068363,            0.010534,           0.0087028,            0.024856,           0.0078563,           0.0078563
                  28,            0.078597,            0.016704,            0.013551,             0.99039,                 0.5,             0.54218,             0.31349,            0.068363,            0.010534,           0.0087028,            0.022123,           0.0081232,           0.0081232
                  29,            0.069445,            0.016476,            0.011423,             0.68727,                 0.5,             0.27695,            0.087886,            0.058951,             0.01062,           0.0083793,            0.019389,            0.008389,            0.008389
                  30,             0.06855,            0.015162,            0.011914,             0.24558,               0.725,             0.31284,            0.060728,            0.069736,           0.0097119,           0.0080148,            0.016654,           0.0086535,           0.0086535
                  31,            0.073424,            0.015429,            0.012417,             0.27384,                0.85,              0.3044,            0.090455,            0.069059,           0.0096462,           0.0077111,            0.013917,           0.0089169,           0.0089169
                  32,            0.075722,            0.017312,            0.012063,             0.27384,                0.85,              0.3044,            0.090455,            0.069059,           0.0096462,           0.0077111,            0.011179,           0.0091791,           0.0091791
                  33,            0.070283,            0.014825,            0.013902,             0.19078,                 0.7,             0.22856,             0.10667,            0.060809,            0.010669,           0.0091683,           0.0093466,           0.0093466,           0.0093466
                  34,            0.073982,            0.015498,            0.013214,             0.46251,             0.82433,              0.5259,             0.20434,            0.069212,             0.01012,           0.0075796,           0.0093466,           0.0093466,           0.0093466
                  35,            0.072666,            0.013997,            0.010368,             0.72119,               0.475,             0.39168,             0.17712,            0.064284,            0.011575,            0.006959,           0.0093268,           0.0093268,           0.0093268
                  36,            0.073775,            0.014775,             0.01134,             0.72119,               0.475,             0.39168,             0.17712,            0.064284,            0.011575,            0.006959,            0.009307,            0.009307,            0.009307
                  37,            0.070818,             0.01461,            0.010103,              0.8106,               0.425,             0.47638,             0.16837,            0.057577,            0.011731,           0.0068706,           0.0092872,           0.0092872,           0.0092872
                  38,            0.068664,            0.015326,            0.011106,             0.23736,                0.85,             0.51059,             0.20493,            0.065474,           0.0094867,            0.006527,           0.0092674,           0.0092674,           0.0092674
                  39,            0.077674,            0.015603,            0.010141,              0.6062,                0.45,             0.17205,             0.03879,            0.073302,            0.010211,           0.0068191,           0.0092476,           0.0092476,           0.0092476
                  40,            0.082908,            0.014077,           0.0093817,              0.6062,                0.45,             0.17205,             0.03879,            0.073302,            0.010211,           0.0068191,           0.0092278,           0.0092278,           0.0092278
                  41,            0.077259,            0.012865,            0.010776,             0.19969,             0.87889,             0.35491,             0.18829,            0.059341,            0.010044,           0.0067913,            0.009208,            0.009208,            0.009208
                  42,            0.077448,            0.014211,            0.011353,             0.23462,               0.925,             0.29032,             0.09745,            0.072879,           0.0084246,           0.0063592,           0.0091882,           0.0091882,           0.0091882
                  43,            0.079985,            0.014145,            0.010234,             0.32788,                 0.8,             0.43455,             0.15723,            0.062064,           0.0090664,           0.0064388,           0.0091684,           0.0091684,           0.0091684
                  44,            0.073573,            0.013835,           0.0096517,             0.32788,                 0.8,             0.43455,             0.15723,            0.062064,           0.0090664,           0.0064388,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068812,            0.015327,            0.010136,             0.70151,             0.82345,             0.86386,             0.32368,            0.050284,           0.0094457,           0.0063133,           0.0091288,           0.0091288,           0.0091288
                  46,            0.068091,            0.014927,           0.0095085,             0.52995,                0.75,             0.76518,              0.2318,             0.06216,           0.0088092,           0.0060379,            0.009109,            0.009109,            0.009109
                  47,            0.071062,            0.012477,           0.0083531,             0.39708,                0.85,             0.46714,             0.19172,            0.057533,           0.0091407,           0.0052829,           0.0090892,           0.0090892,           0.0090892
                  48,            0.068136,            0.016042,           0.0083797,             0.39708,                0.85,             0.46714,             0.19172,            0.057533,           0.0091407,           0.0052829,           0.0090694,           0.0090694,           0.0090694
                  49,            0.064908,            0.014278,           0.0087505,              0.2963,             0.86937,             0.45293,             0.18531,            0.055448,           0.0089436,           0.0050148,           0.0090496,           0.0090496,           0.0090496
                  50,            0.065559,            0.015253,           0.0078487,             0.44647,               0.875,             0.74032,             0.20672,            0.056447,           0.0086559,           0.0049394,           0.0090298,           0.0090298,           0.0090298
